1562	1019	so̞ˈsto̞s	GREEK	right:N	s o̞ ˈs t o̞ s	3 7 3 1 7 3	AXMBYN	SUSTUS	19	19.S.C 19.U.V 19.S.c 19.T.C 19.U.V 19.S.c	2.0 1.5 1.1 1.75 1.3 0.8	0	16
1563	1019	owłił	CLASSICAL_ARMENIAN	right:R	o w ł i ł	7 6 5 7 5	XMBYN	UWLIL	8	8.U.V 8.W.c 8.L.C 8.I.V 8.L.c	1.5 1.1 1.75 1.3 0.8	0	8
1564	1019	rast	OSSETIC	right:D	r a s t	5 7 3 1	AXLN	RAST	36	36.R.C 36.A.V 36.S.c 36.T.c	2.0 1.5 1.1 0.8	0	35
1565	1019	rašt	OSSETIC_IRON	right:D	r a š t	5 7 3 1	AXLN	RAST	38	38.R.C 38.A.V 38.S.c 38.T.c	2.0 1.5 1.1 0.8	0	35
1566	1019	rast	OSSETIC_DIGOR	right:D	r a s t	5 7 3 1	AXLN	RAST	37	37.R.C 37.A.V 37.S.c 37.T.c	2.0 1.5 1.1 0.8	0	35
1567	1019	sɔʈhik	ORIYA	right:H	s ɔ ʈ h i k	3 7 1 3 7 1	AXBCYN	SUTHIK	35	35.S.C 35.U.V 35.T.C 35.H.C 35.I.V 35.K.c	2.0 1.5 1.75 1.5 1.3 0.8	0	34
1568	1019	ʈhick	BIHARI	right:H	ʈ h i c k	1 3 7 1 1	ACXLN	THICK	4	4.T.C 4.H.C 4.I.V 4.C.c 4.K.c	2.0 1.5 1.5 1.1 0.8	0	4
1569	1019	tʰik	MAGAHI	right:H	tʰ i k	1 7 1	AXN	TIK	26	26.T.C 26.I.V 26.K.c	2.0 1.5 0.8	0	25
1570	1019	d̪ɾust	URDU	right:D	d̪ ɾ u s t	1 5 7 3 1	ACXLN	TRYST	51	51.T.C 51.R.C 51.Y.V 51.S.c 51.T.c	2.0 1.5 1.5 1.1 0.8	0	50
1571	1019	səhih	URDU	right:Ac	s ə h i h	3 7 3 7 3	AXBYN	SEHIH	51	51.S.C 51.E.V 51.H.C 51.I.V 51.H.c	2.0 1.5 1.75 1.3 0.8	0	34
1572	1019	ʈʰik	URDU	right:H	ʈʰ i k	1 7 1	AXN	TIK	51	51.T.C 51.I.V 51.K.c	2.0 1.5 0.8	0	25
1573	1019	bəɾobəɾ	MARATHI	right:G	b ə ɾ o b ə ɾ	1 7 5 7 1 7 5	AXBYBYN	PERUPER	27	27.P.C 27.E.V 27.R.C 27.U.V 27.P.C 27.E.V 27.R.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	26
1574	1019	kʰəɾə	MARATHI	right:W	kʰ ə ɾ ə	1 7 5 7	AXBZ	KERE	27	27.K.C 27.E.V 27.R.C 27.E.V	2.0 1.5 1.75 0.8	0	73
