language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
Suau	swp	to lie down	1411	49	ʔeno	1	
Suau	swp	to walk	1443	5	laulau	1	
Suau	swp	to stand	1442	52	tolo	2	
Suau	swp	man/male	1554	54	tau	22	
Suau	swp	woman/female	962	55	sine	1	
Suau	swp	child	2099	56	natu-	5	
Suau	swp	husband	1200	57	mone tau	26	
Suau	swp	wife	1199	58	mone sine	18	
Suau	swp	mother	1216	59	sina-	1	
Suau	swp	father	1217	60	tama-	1	
Suau	swp	house	1252	61	numa	1	
Suau	swp	name	1405	63	hesa-	1,  18	[h]esa-
Suau	swp	to sew	1457	67	bodi	7	
Suau	swp	to come	1446	7	laoma	1	
Suau	swp	to stab, pierce	1434	71	goli	20	
Suau	swp	to kill	1417	74	unu|i	1	
Suau	swp	to die, be dead	1494	75	mate	1	
Suau	swp	to live, be alive	1422	76	mauli	1	
Suau	swp	to cut, hack	1432	78	ibo	51	tom 86
Suau	swp	to split	1437	80	igali	31	
Suau	swp	sharp	1396	81	mata	36	
Suau	swp	to work	1086	83	umai	1	
Suau	swp	to swell	1573	87	ie pou	17	
Suau	swp	to squeeze	1414	88	hihi	21	tam 33
Suau	swp	to hold	1448	89	ʔabi	23	
Suau	swp	to dig	1418	90	sala	10	
Suau	swp	to throw	1456	94	tu	31	
Suau	swp	to fall	1280	95	beʔu	25	
Suau	swp	dog	2009	96	kedewa	18	
Suau	swp	bird	937	97	manu	1	
Tanna, Southwest	nwi	hand	1277	1	kwa|lm-	1	
Tanna, Southwest	nwi	dirty	1230	10	amkəmək	14	
Tanna, Southwest	nwi	wing	1257	100	nəkavkav-	1	
Tanna, Southwest	nwi	to fly	1441	101	iva	1	
Tanna, Southwest	nwi	rat	1490	102	iahukw	3	
Tanna, Southwest	nwi	meat/flesh	634	103	nauŋa	16	
Tanna, Southwest	nwi	fat/grease	1282	104	nelpwa	15	
Tanna, Southwest	nwi	tail	1220	105	nəpikou-	1?,  31	
Tanna, Southwest	nwi	snake	730	106	taŋalua	14	
Tanna, Southwest	nwi	worm (earthworm)	1219	107	mwatíkalo	10,  38	
Tanna, Southwest	nwi	louse	1392	108	kel	1	
Tanna, Southwest	nwi	mosquito	1509	109	mumuk	1	
Tanna, Southwest	nwi	dust	2	11	nəmokwlúl	8	
Tanna, Southwest	nwi	fish	227	111	kamaam	51	
Tanna, Southwest	nwi	rotten	1728	112	əmətət	50	
Tanna, Southwest	nwi	branch	1531	113	kwalm-	23	
Tanna, Southwest	nwi	leaf	628	114	nəmwal-	30,  1	
Tanna, Southwest	nwi	root	670	115	nua-	2	
Tanna, Southwest	nwi	flower	239	116	tihi-	34	
Tanna, Southwest	nwi	fruit	1507	117	kwankwa-	1	
Tanna, Southwest	nwi	grass	606	118	nəvhilək	1	
Tanna, Southwest	nwi	earth/soil	1228	119	nəmop|tana	34,  1	
Tanna, Southwest	nwi	skin	763	12	təki-	46	
Tanna, Southwest	nwi	stone	857	120	kopwiel	6	
Tanna, Southwest	nwi	sand	671	121	nəpakəl	30	
Tanna, Southwest	nwi	water	948	122	nu	2	
Tanna, Southwest	nwi	to flow	2003	123	aiu	30	
Tanna, Southwest	nwi	sea	1474	124	tahik	1	
Tanna, Southwest	nwi	salt	1274	125	nəŋal	8	
Tanna, Southwest	nwi	lake	624	126	nəsiu	10	
Tanna, Southwest	nwi	sky	1732	128	neai	12	
Tanna, Southwest	nwi	moon	1313	129	makua	28	
Tanna, Southwest	nwi	back	1291	13	nəmweitaa-	12	
Tanna, Southwest	nwi	star	1430	130	kəmhau	13	
Tanna, Southwest	nwi	cloud	1489	131	napua	16	
Tanna, Southwest	nwi	rain	658	133	nehen	1	
Tanna, Southwest	nwi	thunder	1150	134	kalualua	18	
Tanna, Southwest	nwi	wind	960	136	nəmataaŋ	48	%nəmataaŋ
Tanna, Southwest	nwi	to blow	175	137	kəlkəl	16?	hel 26
Tanna, Southwest	nwi	warm	1232	138	aliuan	51	
Tanna, Southwest	nwi	cold	1287	139	əmla	51	
Tanna, Southwest	nwi	belly	1251	14	təpu-	36	
Tanna, Southwest	nwi	dry	1398	140	əvsək	15	
Tanna, Southwest	nwi	wet	1726	141	aptəŋ	13	
Tanna, Southwest	nwi	heavy	1210	142	pwam	30	
Tanna, Southwest	nwi	fire	221	143	napw	19	
Tanna, Southwest	nwi	to burn	2102	144	vaan	11	as 42
Tanna, Southwest	nwi	smoke	778	145	nhenapw	2	
Tanna, Southwest	nwi	ash	646	146	nəmlakw	1	
Tanna, Southwest	nwi	black	163	147	apəŋ	9	
Tanna, Southwest	nwi	white	1335	148	hauan	14	
Tanna, Southwest	nwi	bone	1394	15	nəkəlkəlii-	7	
Tanna, Southwest	nwi	yellow	1424	150	akwlha	42	
Tanna, Southwest	nwi	green	1425	151	amləmla	1	
Tanna, Southwest	nwi	short	1645	154	kwakwa	53	
Tanna, Southwest	nwi	long	1203	155	aliepomh	14	
Tanna, Southwest	nwi	thin	1400	156	aviləŋ	21?	
Tanna, Southwest	nwi	narrow	1267	158	əvtelakən	14	
Tanna, Southwest	nwi	intestines	1991	16	nəsinau-	1	
Tanna, Southwest	nwi	painful, sick	2103	160	əmha	1	
Tanna, Southwest	nwi	old	1229	162	hualu	25	
Tanna, Southwest	nwi	new	1231	163	vi	10	
Tanna, Southwest	nwi	good	1035	164	vha	61	
Tanna, Southwest	nwi	bad, evil	1292	165	ha	1	
Tanna, Southwest	nwi	correct, true	1725	166	etkwatukw	36	
Tanna, Southwest	nwi	night	1233	167	ien|pəŋ	1	
Tanna, Southwest	nwi	day	1225	168	ie|lan	6	
Tanna, Southwest	nwi	year	1226	169	nekw	41	
Tanna, Southwest	nwi	liver	1224	17	nakanmop-	7	
Tanna, Southwest	nwi	when?	1238	170	naŋhən	1	
Tanna, Southwest	nwi	to hide	602	171	elkwaiŋ	7	
Tanna, Southwest	nwi	to climb	1102	172	hakta	2	
Tanna, Southwest	nwi	at	1461	173	ie	20	
Tanna, Southwest	nwi	in, inside	1606	174	ie	1	
Tanna, Southwest	nwi	below	1485	176	ietana	9	
Tanna, Southwest	nwi	this	1214	177	e	1,  18	
Tanna, Southwest	nwi	that	78	178	aan	1?	
Tanna, Southwest	nwi	near	1942	179	ipaka	32	
Tanna, Southwest	nwi	breast	1402	18	nahi-	1	
Tanna, Southwest	nwi	far	1406	180	isokw	1	
Tanna, Southwest	nwi	where?	1237	181	ihie	34	
Tanna, Southwest	nwi	I	1209	182	iou	1	
Tanna, Southwest	nwi	thou	1215	183	iik	1	
Tanna, Southwest	nwi	he/she	262	184	in	1	
Tanna, Southwest	nwi	we	1212	185	kətaua	1	kəmaua 2
Tanna, Southwest	nwi	you	1213	186	kəmia	13	
Tanna, Southwest	nwi	they	817	187	ilia	1	
Tanna, Southwest	nwi	what?	1236	188	naha	1	
Tanna, Southwest	nwi	who?	1235	189	pa	30	
Tanna, Southwest	nwi	shoulder	1482	19	nua-	41?	
Tanna, Southwest	nwi	all	98	191	mufaam	50	
Tanna, Southwest	nwi	and	1577	192	məna	2	kəni 1
Tanna, Southwest	nwi	if	1459	193	tukwmah	3	kipimah 3
Tanna, Southwest	nwi	no, not	1269	195	nəkom	55	
Tanna, Southwest	nwi	to count	1420	196	avhekən	26	
Tanna, Southwest	nwi	One	1493	197	kəlikiana	1?	
Tanna, Southwest	nwi	Two	1498	198	kəla|lu	1	
Tanna, Southwest	nwi	Three	492	199	kəsi|səl	1	
Tanna, Southwest	nwi	left	244	2	maul	1	
Tanna, Southwest	nwi	Four	1500	200	ku|as	1	
Tanna, Southwest	nwi	to think	2271	21	ləki-n l-uh	12?	
Tanna, Southwest	nwi	to fear	1419	22	ŋən	25?	
Tanna, Southwest	nwi	blood	946	23	nətau-	1	
Tanna, Southwest	nwi	head	1256	24	-kapwa	9,  17	
Tanna, Southwest	nwi	neck	1333	25	-lakw	18	
Tanna, Southwest	nwi	hair	1040	26	nukwanee-	29	
Tanna, Southwest	nwi	nose	1221	27	nəpwaŋnhiŋ-	1	
Tanna, Southwest	nwi	to breathe	1407	28	ehlaŋ	15	
Tanna, Southwest	nwi	to sniff, smell	375	29	ələŋ	43	
Tanna, Southwest	nwi	right	1019	3	matukw	5,  37	
Tanna, Southwest	nwi	mouth	674	30	nhel-	12	
Tanna, Southwest	nwi	tooth	1380	31	kwəlu-	1	
Tanna, Southwest	nwi	tongue	1205	32	nelam-	7,  17	
Tanna, Southwest	nwi	to laugh	1355	33	aalh	46	
Tanna, Southwest	nwi	to cry	1839	34	eau	34	
Tanna, Southwest	nwi	to vomit	1278	35	lua	8	
Tanna, Southwest	nwi	to spit	1440	36	elŋaavh	20,  14	
Tanna, Southwest	nwi	to eat	1336	37	aan	1	
Tanna, Southwest	nwi	to cook	1100	39	vikən	50	
Tanna, Southwest	nwi	leg/foot	2098	4	nuhu-	75	
Tanna, Southwest	nwi	to drink	1401	40	num	1	
Tanna, Southwest	nwi	to bite	1403	41	as	1	
Tanna, Southwest	nwi	to suck	1421	42	amwha	11?	
Tanna, Southwest	nwi	ear	1247	43	mwa|telŋ	1	
Tanna, Southwest	nwi	to hear	1408	44	ələŋ	1	
Tanna, Southwest	nwi	eye	1248	45	nəml-	1	
Tanna, Southwest	nwi	to see	1409	46	aam	12	
Tanna, Southwest	nwi	to sleep	1585	48	apəl	11	
Tanna, Southwest	nwi	to lie down	1411	49	əməl	8	
Tanna, Southwest	nwi	to walk	1443	5	eliuok	63,  9	
Tanna, Southwest	nwi	to dream	1920	50	əmələlha	13	
Tanna, Southwest	nwi	to sit	1416	51	akwəta	69	
Tanna, Southwest	nwi	to stand	1442	52	alel	2	
Tanna, Southwest	nwi	person/human being	683	53	ielmama	4,  9	
Tanna, Southwest	nwi	man/male	1554	54	iel|maan	14,  1	
Tanna, Southwest	nwi	woman/female	962	55	pilavən	34,  1	
Tanna, Southwest	nwi	child	2099	56	nal-	5	
Tanna, Southwest	nwi	husband	1200	57	ielmaan	17	
Tanna, Southwest	nwi	wife	1199	58	pilavən	11	
Tanna, Southwest	nwi	mother	1216	59	nə|sən-	1?	
Tanna, Southwest	nwi	road/path	667	6	suatukw	6	
Tanna, Southwest	nwi	father	1217	60	ləm-	1	
Tanna, Southwest	nwi	house	1252	61	nimwa	1	
Tanna, Southwest	nwi	name	1405	63	nhaŋ-	1,  18	
Tanna, Southwest	nwi	to say	1458	64	ni	17	
Tanna, Southwest	nwi	rope	1218	65	nelaus	11	
Tanna, Southwest	nwi	to tie up, fasten	1094	66	əlkəs	1,  39	
Tanna, Southwest	nwi	to sew	1457	67	lhi	13?	
Tanna, Southwest	nwi	to hunt	1435	69	ea|pən	11	
Tanna, Southwest	nwi	to come	1446	7	ua	11	
Tanna, Southwest	nwi	to stab, pierce	1434	71	hai	8	
Tanna, Southwest	nwi	to hit	1433	72	uh	29	
Tanna, Southwest	nwi	to steal	713	73	aklhakən	10	
Tanna, Southwest	nwi	to kill	1417	74	huopnii	12,  1	
Tanna, Southwest	nwi	to die, be dead	1494	75	mha	1	
Tanna, Southwest	nwi	to live, be alive	1422	76	mlaŋh	25?	
Tanna, Southwest	nwi	to scratch	1436	77	aki	13	
Tanna, Southwest	nwi	to cut, hack	1432	78	əlai	1	
Tanna, Southwest	nwi	stick/wood	1295	79	nəpalnai	1	
Tanna, Southwest	nwi	to split	1437	80	aləplaai	1	
Tanna, Southwest	nwi	sharp	1396	81	esla	19	
Tanna, Southwest	nwi	dull, blunt	379	82	pus	16	
Tanna, Southwest	nwi	to work	1086	83	asim	1,  13	
Tanna, Southwest	nwi	to plant	1486	84	su	28	
Tanna, Southwest	nwi	to choose	1750	85	omwhen	23	
Tanna, Southwest	nwi	to swell	1573	87	esiis	11	
Tanna, Southwest	nwi	to squeeze	1414	88	əvtete lakən	17	
Tanna, Southwest	nwi	to hold	1448	89	vah	33	
Tanna, Southwest	nwi	to swim	1439	9	al	24	
Tanna, Southwest	nwi	to dig	1418	90	kəl	1	
Tanna, Southwest	nwi	to buy	1869	91	vah nəml-n	4,  13	
Tanna, Southwest	nwi	to open, uncover	1156	92	asəktaa	38	
Tanna, Southwest	nwi	to pound, beat	354	93	əsianəsian	11?	
Tanna, Southwest	nwi	to throw	1456	94	alukən	52	
Tanna, Southwest	nwi	to fall	1280	95	məl	40	
Tanna, Southwest	nwi	dog	2009	96	kuli	7	%kuli
Tanna, Southwest	nwi	bird	937	97	mana	1	
Tanna, Southwest	nwi	egg	744	98	kwanhel-	1	
Tanna, Southwest	nwi	feather	1201	99	numl-	23	
Emae	mmw	hand	1277	1	rima	1	
Emae	mmw	wing	1257	100	bakakau	1	
Emae	mmw	to fly	1441	101	rere	11	
Emae	mmw	rat	1490	102	kimoa	14	
Emae	mmw	meat/flesh	634	103	kanofi	14	
Emae	mmw	fat/grease	1282	104	gako	14	
Emae	mmw	tail	1220	105	siku	13	
Emae	mmw	snake	730	106	gata	12	
Emae	mmw	worm (earthworm)	1219	107	keremutu	9	
Emae	mmw	louse	1392	108	kutu	1	
Emae	mmw	mosquito	1509	109	namu	1	
Emae	mmw	dust	2	11	refu	1	
Emae	mmw	spider	843	110	ka	1	ka/revereve/
Emae	mmw	fish	227	111	ika	1	
Emae	mmw	rotten	1728	112	para	13	popo 14
Emae	mmw	branch	1531	113	ra	1	ra/i
Emae	mmw	leaf	628	114	rau	1	rau/rau
Emae	mmw	root	670	115	kai	2	
Emae	mmw	flower	239	116	see	9	
Emae	mmw	fruit	1507	117	fua	1	
Emae	mmw	grass	606	118	mauku	2	
Emae	mmw	earth/soil	1228	119	kere	10	
Emae	mmw	skin	763	12	kiri	1	
Emae	mmw	stone	857	120	maka	4	
Emae	mmw	sand	671	121	one	1	
Emae	mmw	water	948	122	vai	2	
Emae	mmw	to flow	2003	123	sa	4	sa/sari/
Emae	mmw	sea	1474	124	moana	10	tai 1
Emae	mmw	lake	624	126	namo	7	
Emae	mmw	woods/forest	420	127	vao	14	
Emae	mmw	sky	1732	128	ragi	1	
Emae	mmw	moon	1313	129	maasina	5	
Emae	mmw	rain	658	133	ua	1	
Emae	mmw	thunder	1150	134	fatitiri	14	
Emae	mmw	lightning	1654	135	uvira	2	
Emae	mmw	wind	960	136	matagi	1,  66,  67	sau/ririki 10
Emae	mmw	to blow	175	137	re	8	re /matangi/ e engiangi
Emae	mmw	warm	1232	138	maafana	1	mmaafana 1
Emae	mmw	cold	1287	139	makalili	52,  1	
Emae	mmw	dry	1398	140	maroo	13	
Emae	mmw	wet	1726	141	su	11	su/suu/
Emae	mmw	heavy	1210	142	mamafa	1,  67	
Emae	mmw	fire	221	143	afi	1	
Emae	mmw	to burn	2102	144	tuugia	7	tuutuu 6; tututu 6
Emae	mmw	smoke	778	145	asu	2	%asu/afi; %aasu 2
Emae	mmw	ash	646	146	refu	1	
Emae	mmw	black	163	147	uri	7	
Emae	mmw	white	1335	148	tea	8	
Emae	mmw	bone	1394	15	sui	2	
Emae	mmw	yellow	1424	150	fero	11	fero/fero
Emae	mmw	small	1246	152	tiiti	66	ri/riki/ 66
Emae	mmw	big	1202	153	lasi	12	
Emae	mmw	thin	1400	156	manifi	1	manifi/nifi
Emae	mmw	thick	1244	157	matoru	3	matoru/toru
Emae	mmw	intestines	1991	16	gaakau	12	
Emae	mmw	painful, sick	2103	160	masaki	1	
Emae	mmw	shy, ashamed	487	161	maa	1	
Emae	mmw	old	1229	162	tuai	48	
Emae	mmw	new	1231	163	fou	1	
Emae	mmw	good	1035	164	suumarie	16	
Emae	mmw	bad, evil	1292	165	saa	1	%saa/ti
Emae	mmw	night	1233	167	poo	1	
Emae	mmw	day	1225	168	aso	5	
Emae	mmw	year	1226	169	tau	1	
Emae	mmw	liver	1224	17	ate	1	
Emae	mmw	when?	1238	170	aafee	5	
Emae	mmw	to hide	602	171	mumuni	1	
Emae	mmw	to climb	1102	172	kake	2	
Emae	mmw	in, inside	1606	174	roto	5	
Emae	mmw	above	1741	175	ruga	9	
Emae	mmw	this	1214	177	ni	1	ni(i)
Emae	mmw	far	1406	180	mamao	13	
Emae	mmw	where?	1237	181	fee	3,  35	
Emae	mmw	I	1209	182	kou	1	ku 1
Emae	mmw	thou	1215	183	ke	5	
Emae	mmw	we	1212	185	ma	2	tu 66
Emae	mmw	you	1213	186	ke	17	korua 16; kote 16
Emae	mmw	what?	1236	188	aa	1	
Emae	mmw	all	98	191	furi	14	katoa/ina 13
Emae	mmw	and	1577	192	ma	2	
Emae	mmw	how?	1239	194	fefee	11	
Emae	mmw	to count	1420	196	taaua	8	
Emae	mmw	One	1493	197	tasi	1,  66	
Emae	mmw	Two	1498	198	rua	1	
Emae	mmw	Three	492	199	toru	1	
Emae	mmw	left	244	2	sema	11	
Emae	mmw	to know, be knowledgeable	1410	20	iroa	13	
Emae	mmw	Four	1500	200	faa	1,  66	
Emae	mmw	Five	493	201	rima	1	
Emae	mmw	Seven	1704	203	fitu	1	
Emae	mmw	Eight	1705	204	varu	3	
Emae	mmw	Nine	1483	205	siva	5,  66	
Emae	mmw	Ten	1515	206	ŋahuru	5	gafuru 5
Emae	mmw	to think	2271	21	fakaatuatu	27	
Emae	mmw	One Thousand	1843	210	manu	2	
Emae	mmw	to fear	1419	22	mataku	1	
Emae	mmw	blood	946	23	toto	4	
Emae	mmw	head	1256	24	uru	1	
Emae	mmw	neck	1333	25	ua	18	
Emae	mmw	hair	1040	26	furu	31	
Emae	mmw	nose	1221	27	isu	1	
Emae	mmw	to breathe	1407	28	maanava	1	
Emae	mmw	to sniff, smell	375	29	soŋi	9	
Emae	mmw	right	1019	3	matau	5	
Emae	mmw	mouth	674	30	gutu	2	
Emae	mmw	tooth	1380	31	nifo	1	
Emae	mmw	tongue	1205	32	arero	15	
Emae	mmw	to laugh	1355	33	kata	7	
Emae	mmw	to cry	1839	34	tagi	1	
Emae	mmw	to vomit	1278	35	rua	8	rua/kina
Emae	mmw	to spit	1440	36	nu	14	nu/si
Emae	mmw	to eat	1336	37	keina	1	
Emae	mmw	to chew	321	38	gaua	8	
Emae	mmw	to cook	1100	39	tao	10	tao/na
Emae	mmw	leg/foot	2098	4	tapuvae	1	wae 1
Emae	mmw	to drink	1401	40	v	1	v/inu
Emae	mmw	to bite	1403	41	kati	1	kati/a; uti/a 9; utiuti 9
Emae	mmw	to suck	1421	42	miti	8,  10	miti/kia
Emae	mmw	ear	1247	43	tariga	1	
Emae	mmw	to hear	1408	44	fanoŋo	1	
Emae	mmw	eye	1248	45	mata	1	
Emae	mmw	to see	1409	46	kutea	1?	
Emae	mmw	to yawn	1028	47	mamava	1	
Emae	mmw	to sleep	1585	48	moe	10	
Emae	mmw	to walk	1443	5	saere	6	
Emae	mmw	to dream	1920	50	miti	36	
Emae	mmw	to stand	1442	52	tuu	2	
Emae	mmw	person/human being	683	53	tagata	1,  66	
Emae	mmw	man/male	1554	54	tama roa	10	tagata 12
Emae	mmw	woman/female	962	55	fafine	1,  41	
Emae	mmw	child	2099	56	tama	6	tamariki 6; %tamatiiti 6
Emae	mmw	wife	1199	58	finamatua	9	finematua 9
Emae	mmw	mother	1216	59	nau	7	tinana 1
Emae	mmw	road/path	667	6	ara	1	
Emae	mmw	father	1217	60	tama	1	tama/na
Emae	mmw	house	1252	61	fare	14	
Emae	mmw	name	1405	63	igoa	6	
Emae	mmw	rope	1218	65	maea	10	
Emae	mmw	to tie up, fasten	1094	66	noo	15,  16	noo/tia
Emae	mmw	to sew	1457	67	tui	13	tui/a
Emae	mmw	to stab, pierce	1434	71	suki	8	suki/a
Emae	mmw	to hit	1433	72	paa	13	paki 6; batu 7; te/ia 10; tuki/a 8
Emae	mmw	to steal	713	73	kaiaa	7	kaiaa/tia
Emae	mmw	to die, be dead	1494	75	mate	1	
Emae	mmw	to live, be alive	1422	76	mauri	1	
Emae	mmw	to scratch	1436	77	raku	9	raku/tia
Emae	mmw	to cut, hack	1432	78	fasi	13	faaia 13; faia 13; seere/a 16; tuu 17
Emae	mmw	stick/wood	1295	79	raakau	1	
Emae	mmw	to turn	1588	8	fariu	15?	
Emae	mmw	to split	1437	80	matofi	7	
Emae	mmw	sharp	1396	81	ma	14,  67	ma/kakai/
Emae	mmw	to work	1086	83	saŋa	10	
Emae	mmw	to plant	1486	84	to	5	to/kia
Emae	mmw	to grow	479	86	somo	7	tupu 1
Emae	mmw	to swell	1573	87	fu	7	fu/fura
Emae	mmw	to squeeze	1414	88	fota	8	fota/ia; romi/a 10
Emae	mmw	to hold	1448	89	ta	14	ta/tago/-fia
Emae	mmw	to swim	1439	9	kakau	5	
Emae	mmw	to dig	1418	90	keri	1	keri/a
Emae	mmw	to pound, beat	354	93	tuki	2	tuki/a
Emae	mmw	to throw	1456	94	atu	13	atu/ngia
Emae	mmw	to fall	1280	95	too	14	
Emae	mmw	dog	2009	96	kurii	7	
Emae	mmw	bird	937	97	manu	1	
Emae	mmw	egg	744	98	fua	5	
Sakao (Port-Olry)	sku	to fly	1441	101	hɔl	31	
Sakao (Port-Olry)	sku	tail	1220	105	ɔlœ-ɣ	23?	ɔlɒ-n 23?; [ɒ]wɒl- 23?
Sakao (Port-Olry)	sku	worm (earthworm)	1219	107	ɛsɨlɛt	1,  8	[ɛ]sɨlɛt
Sakao (Port-Olry)	sku	louse	1392	108	nøð	1	[n]øð
Sakao (Port-Olry)	sku	mosquito	1509	109	œsœk	46?	[œ]sœk
Sakao (Port-Olry)	sku	spider	843	110	aðal	1?	[a]ðal; [a]βar 31
Sakao (Port-Olry)	sku	fish	227	111	ɛnɛs	53	[ɛ]nɛs
Sakao (Port-Olry)	sku	rotten	1728	112	βœn	52	
Sakao (Port-Olry)	sku	branch	1531	113	ɒβɒŋ-	22?	[ɒ]βɒŋ-; [a]βɨŋa-n 22?
Sakao (Port-Olry)	sku	leaf	628	114	ɛrɛ-	1	[ɛ]rɛ-; [ɛ]rɛ-n 1
Sakao (Port-Olry)	sku	root	670	115	nar-	2	[n]ar-; arø-n 2
Sakao (Port-Olry)	sku	fruit	1507	117	awan-	1?	[a][w]an-; [a][w]any- 1?
Sakao (Port-Olry)	sku	grass	606	118	œmœs	51	[œ]mœs
Sakao (Port-Olry)	sku	earth/soil	1228	119	ɒlɒð	11?	[ɒ]lɒð
Sakao (Port-Olry)	sku	skin	763	12	œlɨky-ɣ	1?	[œ]lɨky-ɣ; [œ]lœkœ-n 1?; [œ]lyk- 1?
Sakao (Port-Olry)	sku	stone	857	120	ɛjɛð	1?	[ɛ]jɛð
Sakao (Port-Olry)	sku	sand	671	121	nɔn	1	[n]ɔn
Sakao (Port-Olry)	sku	water	948	122	ɔro	2?	[ɔ]ro
Sakao (Port-Olry)	sku	sea	1474	124	ɛðɛ	1?	[ɛ]ðɛ
Sakao (Port-Olry)	sku	back	1291	13	œβly-ɣ	52?	[œ]βly-ɣ; [œ]βlœ-n [œ]βyl- 52?
Sakao (Port-Olry)	sku	star	1430	130	neð	1?	[n]eð
Sakao (Port-Olry)	sku	rain	658	133	ɔtɔɣ	1?	[ɔ]tɔɣ
Sakao (Port-Olry)	sku	lightning	1654	135	œpœl	26	[œ]pœl
Sakao (Port-Olry)	sku	to blow	175	137	hɒr	26?	hy 12?
